trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.3, 'e': 0.04550195440462142}",30,6,12.505457971703905,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.04415716841969272}",30,4,37.70114315416982,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.04285212686704004}",25,6,-26.427412564456457,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.3, 'e': 0.041585655121173036}",25,8,28.048733523084003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.040356613272031015}",25,14,18.658304352103688,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.03916389509898694}",20,16,7.053943627445873,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.03800642707517419}",20,10,20.55731009130337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.03688316740123988}",20,10,21.953808511339155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.03579310506765518}",30,12,29.905485939928166,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.03473525894473844}",20,0,23.882787712181305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.3, 'e': 0.033708676899572285}",20,0,24.06315242608442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.0327124349390197}",30,8,31.956253614090997,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.031745636378067835}",20,0,31.616084164786397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
